ENLIGHTEN Version,4.1.22
Measurement ID,20250220-202832-871368-WP-01977
Serial Number,WP-01977
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,EDTA
Declared Match,
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,Raman
Baseline Correction Algo,AirPLS
ROI Pixel Start,47
ROI Pixel End,2047
ROI Start Line,0
ROI Stop Line,63
CCD C4,1.3861700415979117e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,-0.10048087299991834
Raman Intensity Corrected,True
Deconvolved,True
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
BLE Version,
Prefix,enlighten
Suffix,
Preset,
Auto-Raman,True
Session Count,0
Plugin Name,
Integration Time,1134
Timestamp,2025-02-20 20:28:32.871368
Note,
Temperature,0
CCD C0,793.2742919921875
CCD C1,0.15325890481472015
CCD C2,1.4078759704716504e-05
CCD C3,-1.132000004844258e-08
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.032
Laser Enable,False
Laser Power %,0
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,793.27,132.25,NA,1177.00,1093.00
1,793.43,134.69,NA,1188.00,1142.00
2,793.58,137.12,NA,1230.00,1146.00
3,793.73,139.56,NA,1184.00,1123.00
4,793.89,141.99,NA,1201.00,1120.00
5,794.04,144.42,NA,1213.00,1129.00
6,794.19,146.86,NA,1211.00,1129.00
7,794.35,149.29,NA,1169.00,1097.00
8,794.50,151.72,NA,1232.00,1140.00
9,794.65,154.15,NA,1203.00,1121.00
10,794.81,156.58,NA,1216.00,1161.00
11,794.96,159.01,NA,1241.00,1158.00
12,795.12,161.44,NA,1188.00,1104.00
13,795.27,163.87,NA,1273.00,1175.00
14,795.42,166.30,NA,1213.00,1108.00
15,795.58,168.73,NA,1226.00,1127.00
16,795.73,171.16,NA,1197.00,1120.00
17,795.88,173.58,NA,1228.00,1133.00
18,796.04,176.01,NA,1268.00,1163.00
19,796.19,178.44,NA,1277.00,1186.00
20,796.35,180.86,NA,1256.00,1154.00
21,796.50,183.29,NA,1230.00,1135.00
22,796.65,185.71,NA,1308.00,1209.00
23,796.81,188.14,NA,1277.00,1165.00
24,796.96,190.56,NA,1268.00,1154.00
25,797.11,192.98,NA,1281.00,1173.00
26,797.27,195.41,NA,1308.00,1190.00
27,797.42,197.83,NA,1308.00,1192.00
